student_id,gender,parental_education,test_prep_course,study_hours_per_week,math_score,reading_score,writing_score
1,Male,High School,No,4.4,56,57,70
2,Male,Master's Degree,Completed,1.4,69,77,67
3,Male,Master's Degree,Completed,7.3,81,95,92
4,Male,Master's Degree,No,4.9,67,80,67
5,Female,High School,No,12.9,80,86,85
6,Male,Master's Degree,Completed,8.7,94,92,97
7,Male,High School,Completed,10.3,87,93,91
8,Male,Master's Degree,No,7.3,84,72,76
9,Female,High School,Completed,8.5,73,80,76
10,Male,Bachelor's Degree,Completed,4.2,67,75,74
11,Male,Bachelor's Degree,Completed,10.2,85,98,89
12,Female,Associate's Degree,Completed,11.4,87,93,87
13,Female,Bachelor's Degree,Completed,15.0,89,98,100
14,Male,Associate's Degree,Completed,12.1,86,81,87
15,Female,Bachelor's Degree,Completed,10.5,80,98,95
16,Female,High School,No,7.1,67,79,77
17,Female,Associate's Degree,Completed,13.2,86,95,94
18,Male,Bachelor's Degree,Completed,8.6,90,87,76
19,Female,Master's Degree,Completed,2.6,74,88,85
20,Male,High School,Completed,13.3,96,81,89
21,Male,Associate's Degree,Completed,10.2,93,80,87
22,Female,Associate's Degree,Completed,11.0,84,91,85
23,Female,High School,Completed,4.1,67,74,67
24,Male,High School,Completed,10.9,74,76,75
25,Female,High School,Completed,4.9,72,75,78
26,Female,Associate's Degree,No,12.3,74,74,81
27,Female,Master's Degree,No,13.1,79,93,93
28,Male,Master's Degree,No,12.2,78,82,89
29,Male,Master's Degree,Completed,4.9,76,91,82
30,Male,High School,Completed,14.6,98,98,85
31,Female,Master's Degree,Completed,13.1,100,91,88
32,Female,Bachelor's Degree,No,5.0,74,77,78
33,Female,Associate's Degree,Completed,5.2,85,79,78
34,Female,High School,Completed,9.2,80,89,75
35,Male,Associate's Degree,Completed,9.3,86,79,77
36,Male,High School,Completed,6.9,77,78,86
37,Male,Bachelor's Degree,Completed,4.7,70,82,79
38,Male,High School,No,9.7,74,66,75
39,Female,Associate's Degree,No,13.3,90,81,77
40,Female,High School,No,14.0,72,90,77
41,Male,Associate's Degree,No,4.9,61,66,73
42,Female,Master's Degree,No,13.7,96,83,89
43,Female,High School,Completed,5.7,66,85,68
44,Female,Master's Degree,Completed,2.6,86,83,72
45,Male,Bachelor's Degree,Completed,7.0,72,81,92
46,Male,Bachelor's Degree,Completed,10.5,91,87,91
47,Female,Associate's Degree,Completed,13.1,99,98,99
48,Male,Associate's Degree,No,12.0,78,85,86
49,Male,Bachelor's Degree,Completed,12.0,83,100,100
50,Male,Associate's Degree,No,5.9,75,78,65
51,Male,Master's Degree,No,4.9,64,80,72
52,Female,Bachelor's Degree,Completed,2.6,83,69,85
53,Female,High School,Completed,9.4,77,88,81
54,Male,Master's Degree,Completed,4.6,84,72,91
55,Male,Bachelor's Degree,No,2.0,68,63,63
56,Male,Bachelor's Degree,No,10.3,76,85,83
57,Male,Master's Degree,No,10.5,91,87,81
58,Male,Bachelor's Degree,No,3.9,74,72,66
59,Female,Master's Degree,Completed,8.2,93,98,93
60,Male,Bachelor's Degree,No,2.3,74,62,63
